name
Printing & Related Support Activities
Petroleum & Coal Products
Furniture & Related Products
Food, Beverage & Tobacco Products
Miscellaneous Manufacturing
Paper Products
Textile Mills
Computer & Electronic Products
Plastics & Rubber Products
Transportation Equipment
Apparel, Leather & Allied Products
Fabricated Metal Products
Primary Metals
Machinery
Wood Products
Chemical Products
Electrical Equipment, Appliances & Components
Nonmetallic Mineral Products
